K-Nearest Neighbors hybrid based recommender experimentation using rating.csv dataset file
 Similarity with kNN hybrid recommender for user: 108 is 0.4945343399578322
 Similarity with kNN hybrid recommender for user: 109 is 0.769558941558145
 Similarity with kNN hybrid recommender for user: 110 is 0.6060345113854666
 Similarity with kNN hybrid recommender for user: 111 is 0.9217815442461327
 Similarity with kNN hybrid recommender for user: 112 is 0.8750557098548064
 Similarity with kNN hybrid recommender for user: 113 is 0.7840533641452698
 Similarity with kNN hybrid recommender for user: 114 is 0.5471545879939043
 Similarity with kNN hybrid recommender for user: 115 is 0.7155989093944684
 Similarity with kNN hybrid recommender for user: 116 is 0.8868574156119742
 Similarity with kNN hybrid recommender for user: 117 is 0.8558148904496599
 Similarity with kNN hybrid recommender for user: 118 is 0.14365387952379288
 Similarity with kNN hybrid recommender for user: 119 is 0.6347453455240013
 Similarity with kNN hybrid recommender for user: 120 is 0.5751876865933991
 Similarity with kNN hybrid recommender for user: 121 is 0.8228009310390183
 Similarity with kNN hybrid recommender for user: 122 is 0.9110080969358063
 Similarity with kNN hybrid recommender for user: 123 is 0.7675430854873561
 Similarity with kNN hybrid recommender for user: 124 is 0.6140066391873025
 Similarity with kNN hybrid recommender for user: 125 is 0.6835120516957536
 Similarity with kNN hybrid recommender for user: 126 is 0.70565687569315
 Similarity with kNN hybrid recommender for user: 127 is 0.46134555003506506
 Similarity with kNN hybrid recommender for user: 128 is 0.7996714148852273
 Similarity with kNN hybrid recommender for user: 129 is 0.9028631623524378
 Similarity with kNN hybrid recommender for user: 130 is 0.5223747704349498
 Similarity with kNN hybrid recommender for user: 131 is 0.7405117615746315
 Similarity with kNN hybrid recommender for user: 132 is 0.7729371541767143
 Similarity with kNN hybrid recommender for user: 133 is 0.670923618108507
 Similarity with kNN hybrid recommender for user: 134 is 0.7741148371942733
 Similarity with kNN hybrid recommender for user: 135 is 0.7569713570630737
 Similarity with kNN hybrid recommender for user: 136 is 0.8884856805189231
 Similarity with kNN hybrid recommender for user: 137 is 0.7777217631822586
 Similarity with kNN hybrid recommender for user: 138 is 0
 Similarity with kNN hybrid recommender for user: 139 is 0.7619747493040524
 Similarity with kNN hybrid recommender for user: 140 is 0.8437681632328559
 Similarity with kNN hybrid recommender for user: 141 is 0.970577019761154
 Similarity with kNN hybrid recommender for user: 142 is 0.6927653895466119
 Similarity with kNN hybrid recommender for user: 143 is 0.758334411406717
 Similarity with kNN hybrid recommender for user: 144 is 0.9125247825787574
 Similarity with kNN hybrid recommender for user: 145 is 0.4994965224544979
 Similarity with kNN hybrid recommender for user: 146 is 0.6907433774219085
 Similarity with kNN hybrid recommender for user: 147 is 0.7471835372068644
 Similarity with kNN hybrid recommender for user: 148 is 0.9194404043933196
 Similarity with kNN hybrid recommender for user: 149 is 0.6231938164226684
 Similarity with kNN hybrid recommender for user: 150 is 0.6906293800902923
 Similarity with kNN hybrid recommender for user: 151 is 0.8630938162464932
 Similarity with kNN hybrid recommender for user: 152 is 0.72002796010486
 Similarity with kNN hybrid recommender for user: 153 is 0.7318312113768897
 Similarity with kNN hybrid recommender for user: 154 is 0.6429257052738349
 Similarity with kNN hybrid recommender for user: 155 is 0.4909393540947946
 Similarity with kNN hybrid recommender for user: 156 is 0.5203563849151043
 Similarity with kNN hybrid recommender for user: 157 is 0.42160759941785175
 Similarity with kNN hybrid recommender for user: 158 is 0.7593880805680105
 Similarity with kNN hybrid recommender for user: 159 is 0.6924969497049835
 Similarity with kNN hybrid recommender for user: 160 is 0.7644910887677235
 Similarity with kNN hybrid recommender for user: 161 is 0.5791032964762801
 Similarity with kNN hybrid recommender for user: 162 is 0.48975195636631036
 Similarity with kNN hybrid recommender for user: 163 is 0.5511365284241009
 Similarity with kNN hybrid recommender for user: 164 is 0.5987998582991432
 Similarity with kNN hybrid recommender for user: 165 is 0.7034325472605996
 Similarity with kNN hybrid recommender for user: 166 is 0.849444664523741
 Similarity with kNN hybrid recommender for user: 167 is 0.8027314598472911
 Similarity with kNN hybrid recommender for user: 168 is 0.437613793022898
 Similarity with kNN hybrid recommender for user: 169 is 0.6410777510817738
 Similarity with kNN hybrid recommender for user: 170 is 0.6196614838547593
 Similarity with kNN hybrid recommender for user: 171 is 0.8542969426128135
 Similarity with kNN hybrid recommender for user: 172 is 0.3205946688065418
 Similarity with kNN hybrid recommender for user: 173 is 0.30311424206695237
 Similarity with kNN hybrid recommender for user: 174 is 0.8448853820381304
 Similarity with kNN hybrid recommender for user: 175 is 0.46576554112688334
 Similarity with kNN hybrid recommender for user: 176 is 0.8565261869698345
 Similarity with kNN hybrid recommender for user: 177 is 0.6915188397049562
 Similarity with kNN hybrid recommender for user: 178 is 0.6876394080877548
 Similarity with kNN hybrid recommender for user: 179 is 0.8493853792606887
 Similarity with kNN hybrid recommender for user: 180 is 0.8052137164949712
 Similarity with kNN hybrid recommender for user: 181 is 0.7782065918216732
 Similarity with kNN hybrid recommender for user: 182 is 0.8082458765048284
 Similarity with kNN hybrid recommender for user: 183 is 0.7768329612602123
 Similarity with kNN hybrid recommender for user: 184 is 0.4075297954526664
 Similarity with kNN hybrid recommender for user: 185 is 0.5853029876675763
 Similarity with kNN hybrid recommender for user: 186 is 0.6920175692160009
 Similarity with kNN hybrid recommender for user: 187 is 0.8669213666798843
 Similarity with kNN hybrid recommender for user: 188 is 0.47730862098227633
 Similarity with kNN hybrid recommender for user: 189 is 0.5664126342753847
 Similarity with kNN hybrid recommender for user: 190 is 0.7432778262694832
 Similarity with kNN hybrid recommender for user: 191 is 0.7314042083089775
 Similarity with kNN hybrid recommender for user: 192 is 0.5942943374043291
 Similarity with kNN hybrid recommender for user: 193 is 0.7222477419287013
 Similarity with kNN hybrid recommender for user: 194 is 0.7535112779786954
 Similarity with kNN hybrid recommender for user: 195 is 0.9140622380805614
 Similarity with kNN hybrid recommender for user: 196 is 0.7753222249904322
 Similarity with kNN hybrid recommender for user: 197 is 0.6758981984107139
 Similarity with kNN hybrid recommender for user: 198 is 0.8470200891533801
 Similarity with kNN hybrid recommender for user: 199 is 0.7581026070047961
 Similarity with kNN hybrid recommender for user: 200 is 0.7794316947367638
 Similarity with kNN hybrid recommender for user: 201 is 0.7704780414398075
 Similarity with kNN hybrid recommender for user: 202 is 0.7524610837312566
 Similarity with kNN hybrid recommender for user: 203 is 0.8140742088405611
 Similarity with kNN hybrid recommender for user: 204 is 0.6094558171397279
 Similarity with kNN hybrid recommender for user: 205 is 0.49817816946838306
 Similarity with kNN hybrid recommender for user: 206 is 0.39684904278359023
 Similarity with kNN hybrid recommender for user: 207 is 0.5532576099530421
 Similarity with kNN hybrid recommender for user: 208 is 0.746967178593948
 Similarity with kNN hybrid recommender for user: 209 is 0.7580756558157723
 Similarity with kNN hybrid recommender for user: 210 is 0.8032095207959936
 Similarity with kNN hybrid recommender for user: 211 is 0.7433026312913088
 Similarity with kNN hybrid recommender for user: 212 is 0.6123565091656324
 Similarity with kNN hybrid recommender for user: 213 is 0.5417485566962764
 Similarity with kNN hybrid recommender for user: 214 is 0
 Similarity with kNN hybrid recommender for user: 215 is 0.8990422351444113
 Similarity with kNN hybrid recommender for user: 216 is 0.6933138270238842
 Similarity with kNN hybrid recommender for user: 217 is 0.7482015969721673
 Similarity with kNN hybrid recommender for user: 218 is 0.7243786766321241
 Similarity with kNN hybrid recommender for user: 219 is 0.718626955811242
 Similarity with kNN hybrid recommender for user: 220 is 0.6106721027255607
 Similarity with kNN hybrid recommender for user: 221 is 0.8983349038276376
 Similarity with kNN hybrid recommender for user: 222 is 0.8806100521167911
 Similarity with kNN hybrid recommender for user: 223 is 0.9279966136646323
 Similarity with kNN hybrid recommender for user: 224 is 0.7898338920662735
 Similarity with kNN hybrid recommender for user: 225 is 0.6185212545065143
 Similarity with kNN hybrid recommender for user: 226 is 0.7090140916117906
 Similarity with kNN hybrid recommender for user: 227 is 0.720815869466605
 Similarity with kNN hybrid recommender for user: 228 is 0.6366077215021285
 Similarity with kNN hybrid recommender for user: 229 is 0.8915085269905427
 Similarity with kNN hybrid recommender for user: 230 is 0.7858521680869931
 Similarity with kNN hybrid recommender for user: 231 is 0.5998822450410294
 Similarity with kNN hybrid recommender for user: 232 is 0.7353066077670373
 Similarity with kNN hybrid recommender for user: 233 is 0.8652304455148625
 Similarity with kNN hybrid recommender for user: 234 is 0.5857144261638013
 Similarity with kNN hybrid recommender for user: 235 is 0.7780287837793215
 Similarity with kNN hybrid recommender for user: 236 is 0.8087634245441738
 Similarity with kNN hybrid recommender for user: 237 is 0.6392895834005276
 Similarity with kNN hybrid recommender for user: 238 is 0.8368672361337597
 Similarity with kNN hybrid recommender for user: 239 is 0.8622649343101307
 Similarity with kNN hybrid recommender for user: 240 is 0.8410649906792959
 Similarity with kNN hybrid recommender for user: 241 is 0.6716881633775231
 Similarity with kNN hybrid recommender for user: 242 is 0.8289920843152653
 Similarity with kNN hybrid recommender for user: 243 is 0.9610450580985562
 Similarity with kNN hybrid recommender for user: 244 is 0.8331416311608905
 Similarity with kNN hybrid recommender for user: 245 is 0.4982480473283737
 Similarity with kNN hybrid recommender for user: 246 is 0.6063890513047026
 Similarity with kNN hybrid recommender for user: 247 is 0.6409655908584306
 Similarity with kNN hybrid recommender for user: 248 is 0.7616331011580656
 Similarity with kNN hybrid recommender for user: 249 is 0.7459922038020251
 Similarity with kNN hybrid recommender for user: 250 is 0.24974312962283382
 Similarity with kNN hybrid recommender for user: 251 is 0.7414632277435934
 Similarity with kNN hybrid recommender for user: 252 is 0.7371224755608369
 Similarity with kNN hybrid recommender for user: 253 is 0.5673187218810886
 Similarity with kNN hybrid recommender for user: 254 is 0.7939822674021185
 Similarity with kNN hybrid recommender for user: 255 is 0.36826580038827605
 Similarity with kNN hybrid recommender for user: 256 is 0.8496913978693333
 Similarity with kNN hybrid recommender for user: 257 is 0.6202544452575234
 Similarity with kNN hybrid recommender for user: 258 is 0.5476935938881394
 Similarity with kNN hybrid recommender for user: 259 is 0.5742679838849848
 Similarity with kNN hybrid recommender for user: 260 is 0.6760011217209948
 Similarity with kNN hybrid recommender for user: 261 is 0.8476747757924668
 Similarity with kNN hybrid recommender for user: 262 is 0.6387030913989291
 Similarity with kNN hybrid recommender for user: 263 is 0.8614340712390792
 Similarity with kNN hybrid recommender for user: 264 is 0.7721503780861335
 Similarity with kNN hybrid recommender for user: 265 is 0.8727064637736185
 Similarity with kNN hybrid recommender for user: 266 is 0.7444323318610916
 Similarity with kNN hybrid recommender for user: 267 is 0.8840381173800723
 Similarity with kNN hybrid recommender for user: 268 is 0.8621093782791095
 Similarity with kNN hybrid recommender for user: 269 is 0.530500041534807
 Similarity with kNN hybrid recommender for user: 270 is 0.7279749176343215
 Similarity with kNN hybrid recommender for user: 271 is 0.710467953576869
 Similarity with kNN hybrid recommender for user: 272 is 0.7414938732884389
 Similarity with kNN hybrid recommender for user: 273 is 0.7531080992976189
 Similarity with kNN hybrid recommender for user: 274 is 0.8456441106789023
 Similarity with kNN hybrid recommender for user: 275 is 0.7329342287385785
 Similarity with kNN hybrid recommender for user: 276 is 0.6614765849939906
 Similarity with kNN hybrid recommender for user: 277 is 0.5346232072742261
 Similarity with kNN hybrid recommender for user: 278 is 0.268011073748738
 Similarity with kNN hybrid recommender for user: 279 is 0.8139430976567865
 Similarity with kNN hybrid recommender for user: 280 is 0.7262623609174415
 Similarity with kNN hybrid recommender for user: 281 is 0.886009858574559
 Similarity with kNN hybrid recommender for user: 282 is 0.7525178888764528
 Similarity with kNN hybrid recommender for user: 283 is 0.5012483447860552
 Similarity with kNN hybrid recommender for user: 284 is 0.7081551522102065
 Similarity with kNN hybrid recommender for user: 285 is 0.7342502394046082
 Similarity with kNN hybrid recommender for user: 286 is 0.7285433124087128
 Similarity with kNN hybrid recommender for user: 287 is 0.823774420609867
 Similarity with kNN hybrid recommender for user: 288 is 0.7617521407626123
 Similarity with kNN hybrid recommender for user: 289 is 0.6882318744393315
 Similarity with kNN hybrid recommender for user: 290 is 0.8239335579664866
 Similarity with kNN hybrid recommender for user: 291 is 0.6823370031986388
 Similarity with kNN hybrid recommender for user: 292 is 0.8449323984802694
 Similarity with kNN hybrid recommender for user: 293 is 0.4480382614202572
 Similarity with kNN hybrid recommender for user: 294 is 0.7545486731659904
 Similarity with kNN hybrid recommender for user: 295 is 0.8017646717877884
 Similarity with kNN hybrid recommender for user: 296 is 0.7999205422510932
 Similarity with kNN hybrid recommender for user: 297 is 0.6412196381342957
 Similarity with kNN hybrid recommender for user: 298 is 0.6470774351598125
 Similarity with kNN hybrid recommender for user: 299 is 0.5804571228240846
 Similarity with kNN hybrid recommender for user: 300 is 0.6741105341609227
 Similarity with kNN hybrid recommender for user: 301 is 0.6711401813940469
 Similarity with kNN hybrid recommender for user: 302 is 0.8882451513296222
 Similarity with kNN hybrid recommender for user: 303 is 0.8104962920744507
 Similarity with kNN hybrid recommender for user: 304 is 0.47550499960053166
 Similarity with kNN hybrid recommender for user: 305 is 0.8368732423580159
 Similarity with kNN hybrid recommender for user: 306 is 0.7529242694236558
 Similarity with kNN hybrid recommender for user: 307 is 0.8164420864233698
 Similarity with kNN hybrid recommender for user: 308 is 0.8536899145312503
 Similarity with kNN hybrid recommender for user: 309 is 0.6461578787797648
 Similarity with kNN hybrid recommender for user: 310 is 0.6816441040400013
 Similarity with kNN hybrid recommender for user: 311 is 0.692942438626199
 Similarity with kNN hybrid recommender for user: 312 is 0.6708723740694201
 Similarity with kNN hybrid recommender for user: 313 is 0.7727752540036738
 Similarity with kNN hybrid recommender for user: 314 is 0.8982675581692589
 Similarity with kNN hybrid recommender for user: 315 is 0.6522536288198651
 Similarity with kNN hybrid recommender for user: 316 is 0.6711978044496006
 Similarity with kNN hybrid recommender for user: 317 is 0.7978434088205407
 Similarity with kNN hybrid recommender for user: 318 is 0.6592503765252962
 Similarity with kNN hybrid recommender for user: 319 is 0.6180487314996855
 Similarity with kNN hybrid recommender for user: 320 is 0.5037596850030188
 Similarity with kNN hybrid recommender for user: 321 is 0.538024181114952
 Similarity with kNN hybrid recommender for user: 322 is 0.8457101244003747
 Similarity with kNN hybrid recommender for user: 323 is 0.7326021776300498
 Similarity with kNN hybrid recommender for user: 324 is 0.5479780183989992
 Similarity with kNN hybrid recommender for user: 325 is 0.7399378289209486
 Similarity with kNN hybrid recommender for user: 326 is 0.8227259828166582
 Similarity with kNN hybrid recommender for user: 327 is 0.713172937680568
 Similarity with kNN hybrid recommender for user: 328 is 0.617314053200836
 Similarity with kNN hybrid recommender for user: 329 is 0.7219527018281073
 Similarity with kNN hybrid recommender for user: 330 is 0.8329213741363218
 Similarity with kNN hybrid recommender for user: 331 is 0.5888678810010681
 Similarity with kNN hybrid recommender for user: 332 is 0.7684870715707102
 Similarity with kNN hybrid recommender for user: 333 is 0.7242810772223253
 Similarity with kNN hybrid recommender for user: 334 is 0.6797261279137832
 Similarity with kNN hybrid recommender for user: 335 is 0.5410855711392818
 Similarity with kNN hybrid recommender for user: 336 is 0.615892598371119
 Similarity with kNN hybrid recommender for user: 337 is 0.6831549970517478
 Similarity with kNN hybrid recommender for user: 338 is 0.6414187981508936
 Similarity with kNN hybrid recommender for user: 339 is 0.8357199162383401
 Similarity with kNN hybrid recommender for user: 340 is 0.7861297996587686
 Similarity with kNN hybrid recommender for user: 341 is 0.35575814844618836
 Similarity with kNN hybrid recommender for user: 342 is 0.8040842697855312
 Similarity with kNN hybrid recommender for user: 343 is 0.7402073566742503
 Similarity with kNN hybrid recommender for user: 344 is 0.7672645751185485
 Similarity with kNN hybrid recommender for user: 345 is 0.7817067349519511
 Similarity with kNN hybrid recommender for user: 346 is 0.6098931657755737
 Similarity with kNN hybrid recommender for user: 347 is 0.7538003929410686
 Similarity with kNN hybrid recommender for user: 348 is 0.8355791921603396
 Similarity with kNN hybrid recommender for user: 349 is 0.5696446363539673
 Similarity with kNN hybrid recommender for user: 350 is 0.7355317697935216
 Similarity with kNN hybrid recommender for user: 351 is 0.7622459622187624
 Similarity with kNN hybrid recommender for user: 352 is 0.6973432408531566
 Similarity with kNN hybrid recommender for user: 353 is 0.7515461667210515
 Similarity with kNN hybrid recommender for user: 354 is 0.8616959107961755
 Similarity with kNN hybrid recommender for user: 355 is 0.7100366383837767
 Similarity with kNN hybrid recommender for user: 356 is 0.5698741662767883
 Similarity with kNN hybrid recommender for user: 357 is 0.7210093603299658
 Similarity with kNN hybrid recommender for user: 358 is 0.7345531380227768
 Similarity with kNN hybrid recommender for user: 359 is 0.6637290286317838
 Similarity with kNN hybrid recommender for user: 360 is 0.7351053072622827
 Similarity with kNN hybrid recommender for user: 361 is 0.7391840815402183
 Similarity with kNN hybrid recommender for user: 362 is 0.7537309112419293
 Similarity with kNN hybrid recommender for user: 363 is 0.7022783295170302
 Similarity with kNN hybrid recommender for user: 364 is 0.8222754999330507
 Similarity with kNN hybrid recommender for user: 365 is 0.7067180714474145
 Similarity with kNN hybrid recommender for user: 366 is 0.3769853950418177
 Similarity with kNN hybrid recommender for user: 367 is 0.8316734983231662
 Similarity with kNN hybrid recommender for user: 368 is 0.8710048998633939
 Similarity with kNN hybrid recommender for user: 369 is 0.7627326002445517
 Similarity with kNN hybrid recommender for user: 370 is 0.686322166804031
 Similarity with kNN hybrid recommender for user: 371 is 0.6586347896502801
 Similarity with kNN hybrid recommender for user: 372 is 0.6461035132021576
 Similarity with kNN hybrid recommender for user: 373 is 0.7408261892679532
 Similarity with kNN hybrid recommender for user: 374 is 0.666974220233825
 Similarity with kNN hybrid recommender for user: 375 is 0.7149844964660598
 Similarity with kNN hybrid recommender for user: 376 is 0.7058201930997132
 Similarity with kNN hybrid recommender for user: 377 is 0.863177921753502
 Similarity with kNN hybrid recommender for user: 378 is 0.5793482701058061
 Similarity with kNN hybrid recommender for user: 379 is 0.7408224298722474
 Similarity with kNN hybrid recommender for user: 380 is 0.774192817481121
 Similarity with kNN hybrid recommender for user: 381 is 0.6838636274438936
 Similarity with kNN hybrid recommender for user: 382 is 0.5837669122171063
 Similarity with kNN hybrid recommender for user: 383 is 0.6746288139557597
 Similarity with kNN hybrid recommender for user: 384 is 0.6549593476192418
 Similarity with kNN hybrid recommender for user: 385 is 0.6898648494913359
 Similarity with kNN hybrid recommender for user: 386 is 0.8002235859047838
 Similarity with kNN hybrid recommender for user: 387 is 0.7466002267369255
 Similarity with kNN hybrid recommender for user: 388 is 0.22941956276739872
 Similarity with kNN hybrid recommender for user: 389 is 0.7955345722884034
 Similarity with kNN hybrid recommender for user: 390 is 0.7256661262671298
 Similarity with kNN hybrid recommender for user: 391 is 0.8681103043848877
 Similarity with kNN hybrid recommender for user: 392 is 0
 Similarity with kNN hybrid recommender for user: 393 is 0.6568670890290298
 Similarity with kNN hybrid recommender for user: 394 is 0.5539114296074439
 Similarity with kNN hybrid recommender for user: 395 is 0.6811253798889048
 Similarity with kNN hybrid recommender for user: 396 is 0.6482524904024035
 Similarity with kNN hybrid recommender for user: 397 is 0.760196156723939
 Similarity with kNN hybrid recommender for user: 398 is 0.7679326732383402
 Similarity with kNN hybrid recommender for user: 399 is 0.8629701482938675
 Similarity with kNN hybrid recommender for user: 400 is 0.6338190972279639
 Similarity with kNN hybrid recommender for user: 401 is 0.810246217487584
 Similarity with kNN hybrid recommender for user: 402 is 0.7643215010641725
 Similarity with kNN hybrid recommender for user: 403 is 0.7543786821166889
 Similarity with kNN hybrid recommender for user: 404 is 0.8306916846815299
 Similarity with kNN hybrid recommender for user: 405 is 0.7978352170880872
 Similarity with kNN hybrid recommender for user: 406 is 0.35262513061098055
 Similarity with kNN hybrid recommender for user: 407 is 0.9978485912227348
 Similarity with kNN hybrid recommender for user: 408 is 0.7344227257485344
 Similarity with kNN hybrid recommender for user: 409 is 0.8492013940503751
 Similarity with kNN hybrid recommender for user: 410 is 0.7527138905200176
 Similarity with kNN hybrid recommender for user: 411 is 0.7712450395128808
 Similarity with kNN hybrid recommender for user: 412 is 0.7331414368384831
 Similarity with kNN hybrid recommender for user: 413 is 0.6485418865301928
 Similarity with kNN hybrid recommender for user: 414 is 0.7802432750187164
 Similarity with kNN hybrid recommender for user: 415 is 0.7392617861462797
 Similarity with kNN hybrid recommender for user: 416 is 0.601254875691681
 Similarity with kNN hybrid recommender for user: 417 is 0.4988127956496503
 Similarity with kNN hybrid recommender for user: 418 is 0.6161104832042938
 Similarity with kNN hybrid recommender for user: 419 is 0.7640189922623651
 Similarity with kNN hybrid recommender for user: 420 is 0.8104703565289716
 Similarity with kNN hybrid recommender for user: 421 is 0.5901427814651206
 Similarity with kNN hybrid recommender for user: 422 is 0.8389423815811914
