User to user based recommender experimentation using rating.csv dataset file
----------------------------------------------------------------------------
Start the prediction of user-to-user based recommender ...
 Similarity with user-to-user recommender for user: 48 is 0.5083860575980271
 Similarity with user-to-user recommender for user: 49 is 0.7752920738972598
 Similarity with user-to-user recommender for user: 50 is 0.7514208725647874
 Similarity with user-to-user recommender for user: 51 is 0.7136597316389456
 Similarity with user-to-user recommender for user: 52 is 0.7396394634106568
 Similarity with user-to-user recommender for user: 53 is 0.5085903043072842
 Similarity with user-to-user recommender for user: 54 is 0.5876801928571105
 Similarity with user-to-user recommender for user: 55 is 0.6126980258394962
 Similarity with user-to-user recommender for user: 56 is 0.9127362996708351
 Similarity with user-to-user recommender for user: 57 is 0.7997678865662079
 Similarity with user-to-user recommender for user: 58 is 0.6611311546697353
 Similarity with user-to-user recommender for user: 59 is 0.7357846067024484
 Similarity with user-to-user recommender for user: 60 is 0.5661752887565609
 Similarity with user-to-user recommender for user: 61 is 0.6837380905340709
 Similarity with user-to-user recommender for user: 62 is 0.8439330886419679
 Similarity with user-to-user recommender for user: 63 is 0.7655998885762882
 Similarity with user-to-user recommender for user: 64 is 0.6443829137699918
 Similarity with user-to-user recommender for user: 65 is 0.7853467636587335
 Similarity with user-to-user recommender for user: 66 is 0.7610823491577036
 Similarity with user-to-user recommender for user: 67 is 0.7305414203530134
 Similarity with user-to-user recommender for user: 68 is 0.6886298505567033
 Similarity with user-to-user recommender for user: 69 is 0.7977219451838625
 Similarity with user-to-user recommender for user: 70 is 0.7235237787252977
 Similarity with user-to-user recommender for user: 71 is 0.5546627788738511
 Similarity with user-to-user recommender for user: 72 is 0.7309004807486772
 Similarity with user-to-user recommender for user: 73 is 0.743424217389188
 Similarity with user-to-user recommender for user: 74 is 0.8166496514422096
 Similarity with user-to-user recommender for user: 75 is 0.6397221969333343
 Similarity with user-to-user recommender for user: 76 is 0.8161549006904021
 Similarity with user-to-user recommender for user: 77 is 0.8408656207281413
 Similarity with user-to-user recommender for user: 78 is 0.5788036457658162
 Similarity with user-to-user recommender for user: 79 is 0.8884173252805341
 Similarity with user-to-user recommender for user: 80 is 0.7107441295286742
 Similarity with user-to-user recommender for user: 81 is 0.7251288577778362
 Similarity with user-to-user recommender for user: 82 is 0.7176257004598239
 Similarity with user-to-user recommender for user: 83 is 0.664572393466798
 Similarity with user-to-user recommender for user: 84 is 0.6164495839840277
 Similarity with user-to-user recommender for user: 85 is 0.8206929205115698
 Similarity with user-to-user recommender for user: 86 is 0.6172534025572819
 Similarity with user-to-user recommender for user: 87 is 0.24850674867080763
 Similarity with user-to-user recommender for user: 88 is 0.8499921832817022
 Similarity with user-to-user recommender for user: 89 is 0.6177963333653432
 Similarity with user-to-user recommender for user: 90 is 0.4267652567758497
 Similarity with user-to-user recommender for user: 91 is 0.8464869802683797
 Similarity with user-to-user recommender for user: 92 is 0.6377802331556144
 Similarity with user-to-user recommender for user: 93 is 0.8637896881793317
 Similarity with user-to-user recommender for user: 94 is 0.6160199681660191
 Similarity with user-to-user recommender for user: 95 is 0.7582278630522699
 Similarity with user-to-user recommender for user: 96 is 0.7107902657578209
 Similarity with user-to-user recommender for user: 97 is 0.71262304941317
 Similarity with user-to-user recommender for user: 98 is 0.7395559512384801
 Similarity with user-to-user recommender for user: 99 is 0.8060863962241248
 Similarity with user-to-user recommender for user: 100 is 0.527265359676224
 Similarity with user-to-user recommender for user: 101 is 0.8352357499196378
 Similarity with user-to-user recommender for user: 102 is 0.6820366638476785
 Similarity with user-to-user recommender for user: 103 is 0.6330663303964988
 Similarity with user-to-user recommender for user: 104 is 0.5672915943124538
 Similarity with user-to-user recommender for user: 105 is 0.8604944608370192
 Similarity with user-to-user recommender for user: 106 is 0.626431969404082
 Similarity with user-to-user recommender for user: 107 is 0.8109414202099965
 Similarity with user-to-user recommender for user: 108 is 0.7873396843261136
 Similarity with user-to-user recommender for user: 109 is 0.7840484071110737
 Similarity with user-to-user recommender for user: 110 is 0.7316314581097421
 Similarity with user-to-user recommender for user: 111 is 0.7250243845013796
 Similarity with user-to-user recommender for user: 112 is 0.7565516531133488
 Similarity with user-to-user recommender for user: 113 is 0.7316396185004176
 Similarity with user-to-user recommender for user: 114 is 0.5801992185135086
 Similarity with user-to-user recommender for user: 115 is 0.6643516904080041
 Similarity with user-to-user recommender for user: 116 is 0.9026734570364152
 Similarity with user-to-user recommender for user: 117 is 0.8447997425017713
 Similarity with user-to-user recommender for user: 118 is 0.5880321143691422
 Similarity with user-to-user recommender for user: 119 is 0.7573521787661853
 Similarity with user-to-user recommender for user: 120 is 0.5751876865933989
 Similarity with user-to-user recommender for user: 121 is 0.7797400567040118
 Similarity with user-to-user recommender for user: 122 is 0.8589892001228597
 Similarity with user-to-user recommender for user: 123 is 0.59681120220344
 Similarity with user-to-user recommender for user: 124 is 0.7574132992742045
 Similarity with user-to-user recommender for user: 125 is 0.6835120516957536
 Similarity with user-to-user recommender for user: 126 is 0.6246382775563661
 Similarity with user-to-user recommender for user: 127 is 0.46134555003506506
 Similarity with user-to-user recommender for user: 128 is 0.6794952341649555
 Similarity with user-to-user recommender for user: 129 is 0.7669650545128944
 Similarity with user-to-user recommender for user: 130 is 0.686294771758893
 Similarity with user-to-user recommender for user: 131 is 0.8474036140989311
 Similarity with user-to-user recommender for user: 132 is 0.6847093625595811
 Similarity with user-to-user recommender for user: 133 is 0.7569884871680411
 Similarity with user-to-user recommender for user: 134 is 0.8021547400701227
 Similarity with user-to-user recommender for user: 135 is 0.913996826455783
 Similarity with user-to-user recommender for user: 136 is 0.8650880938337069
 Similarity with user-to-user recommender for user: 137 is 0.8037868439720822
 Similarity with user-to-user recommender for user: 138 is 0
 Similarity with user-to-user recommender for user: 139 is 0.7619747493040524
 Similarity with user-to-user recommender for user: 140 is 0.7307794102082042
 Similarity with user-to-user recommender for user: 141 is 0.6407848056263333
 Similarity with user-to-user recommender for user: 142 is 0.7523199818825842
 Similarity with user-to-user recommender for user: 143 is 0.5008679365382003
 Similarity with user-to-user recommender for user: 144 is 0.7294476161983234
 Similarity with user-to-user recommender for user: 145 is 0.5683761303920144
 Similarity with user-to-user recommender for user: 146 is 0.6750129928539224
 Similarity with user-to-user recommender for user: 147 is 0.6815798298044408
 Similarity with user-to-user recommender for user: 148 is 0.5646274930713935
 Similarity with user-to-user recommender for user: 149 is 0.6231938164226684
 Similarity with user-to-user recommender for user: 150 is 0.8955290618497752
 Similarity with user-to-user recommender for user: 151 is 0.8357109691623642
 Similarity with user-to-user recommender for user: 152 is 0.8758756425788862
 Similarity with user-to-user recommender for user: 153 is 0.5318107097732903
 Similarity with user-to-user recommender for user: 154 is 0.6286177536847093
 Similarity with user-to-user recommender for user: 155 is 0.6080059764081589
 Similarity with user-to-user recommender for user: 156 is 0.6971227359904926
 Similarity with user-to-user recommender for user: 157 is 0.4939708592650419
 Similarity with user-to-user recommender for user: 158 is 0.7593880805680105
 Similarity with user-to-user recommender for user: 159 is 0.43937501084632374
 Similarity with user-to-user recommender for user: 160 is 0.7344611155798176
 Similarity with user-to-user recommender for user: 161 is 0.6896026777731135
 Similarity with user-to-user recommender for user: 162 is 0.34147397887368064
 Similarity with user-to-user recommender for user: 163 is 0.7201442720928077
 Similarity with user-to-user recommender for user: 164 is 0.8577370910734587
 Similarity with user-to-user recommender for user: 165 is 0.7523714558273762
 Similarity with user-to-user recommender for user: 166 is 0.9145866980298762
 Similarity with user-to-user recommender for user: 167 is 0.7809711881974675
 Similarity with user-to-user recommender for user: 168 is 0.69481284213678
 Similarity with user-to-user recommender for user: 169 is 0.7661179992929047
 Similarity with user-to-user recommender for user: 170 is 0.4526944079874881
 Similarity with user-to-user recommender for user: 171 is 0.5912898997217741
 Similarity with user-to-user recommender for user: 172 is 0.3501769491242639
 Similarity with user-to-user recommender for user: 173 is 0.677448660113248
 Similarity with user-to-user recommender for user: 174 is 0.6604810510093059
 Similarity with user-to-user recommender for user: 175 is 0.5133459188091632
 Similarity with user-to-user recommender for user: 176 is 0.8261071323528394
 Similarity with user-to-user recommender for user: 177 is 0.6854647722902658
 Similarity with user-to-user recommender for user: 178 is 0.8054274276199548
 Similarity with user-to-user recommender for user: 179 is 0.7646942485173167
 Similarity with user-to-user recommender for user: 180 is 0.8165302958553177
 Similarity with user-to-user recommender for user: 181 is 0.8497693596883298
 Similarity with user-to-user recommender for user: 182 is 0.7242620493437117
 Similarity with user-to-user recommender for user: 183 is 0.8413713995578401
 Similarity with user-to-user recommender for user: 184 is 0.6434029755102896
 Similarity with user-to-user recommender for user: 185 is 0.538205995548849
 Similarity with user-to-user recommender for user: 186 is 0.5916311484484147
 Similarity with user-to-user recommender for user: 187 is 0.8245992466914064
 Similarity with user-to-user recommender for user: 188 is 0.36655061664322397
 Similarity with user-to-user recommender for user: 189 is 0.8417650126913413
 Similarity with user-to-user recommender for user: 190 is 0.7437307321688928
 Similarity with user-to-user recommender for user: 191 is 0.661480811935604
 Similarity with user-to-user recommender for user: 192 is 0.7448325358228568
 Similarity with user-to-user recommender for user: 193 is 0.7420779161797444
 Similarity with user-to-user recommender for user: 194 is 0.8295328760089203
 Similarity with user-to-user recommender for user: 195 is 0.9020363259517857
 Similarity with user-to-user recommender for user: 196 is 0.7736453199048243
 Similarity with user-to-user recommender for user: 197 is 0.6049407336766601
 Similarity with user-to-user recommender for user: 198 is 0.7503700132645743
 Similarity with user-to-user recommender for user: 199 is 0.7843881985563174
 Similarity with user-to-user recommender for user: 200 is 0.6984432934037541
 Similarity with user-to-user recommender for user: 201 is 0.6162439523768883
 Similarity with user-to-user recommender for user: 202 is 0.7893210863100129
 Similarity with user-to-user recommender for user: 203 is 0.6171290125182444
 Similarity with user-to-user recommender for user: 204 is 0.7757540720182318
 Similarity with user-to-user recommender for user: 205 is 0.41704344451700354
 Similarity with user-to-user recommender for user: 206 is 0.6084246985640855
 Similarity with user-to-user recommender for user: 207 is 0.5532576099530421
 Similarity with user-to-user recommender for user: 208 is 0.7717075104746691
 Similarity with user-to-user recommender for user: 209 is 0.7964865141591798
 Similarity with user-to-user recommender for user: 210 is 0.5324167967700226
 Similarity with user-to-user recommender for user: 211 is 0.7215656689961859
 Similarity with user-to-user recommender for user: 212 is 0.6523162235005363
 Similarity with user-to-user recommender for user: 213 is 0.8439541262840989
 Similarity with user-to-user recommender for user: 214 is 0
 Similarity with user-to-user recommender for user: 215 is 0.8064387847127353
 Similarity with user-to-user recommender for user: 216 is 0.7647462105820365
 Similarity with user-to-user recommender for user: 217 is 0.7456238187003187
 Similarity with user-to-user recommender for user: 218 is 0.7086334639848206
 Similarity with user-to-user recommender for user: 219 is 0.6914648202948971
 Similarity with user-to-user recommender for user: 220 is 0.801566882783795
 Similarity with user-to-user recommender for user: 221 is 0.8470621473465709
 Similarity with user-to-user recommender for user: 222 is 0.7789708200624573
 Similarity with user-to-user recommender for user: 223 is 0.766368571937691
 Similarity with user-to-user recommender for user: 224 is 0.7127340899958408
 Similarity with user-to-user recommender for user: 225 is 0.805771043661422
 Similarity with user-to-user recommender for user: 226 is 0.7059097468153084
 Similarity with user-to-user recommender for user: 227 is 0.873271863754381
 Similarity with user-to-user recommender for user: 228 is 0.6823333693146529
 Similarity with user-to-user recommender for user: 229 is 0.8497482638918387
 Similarity with user-to-user recommender for user: 230 is 0.806759506240951
 Similarity with user-to-user recommender for user: 231 is 0.7481030232129428
 Similarity with user-to-user recommender for user: 232 is 0.6739656357301635
 Similarity with user-to-user recommender for user: 233 is 0.6736701636093567
 Similarity with user-to-user recommender for user: 234 is 0.589572302245416
 Similarity with user-to-user recommender for user: 235 is 0.7519559539855916
 Similarity with user-to-user recommender for user: 236 is 0.8254396619421451
 Similarity with user-to-user recommender for user: 237 is 0.7951392038628129
 Similarity with user-to-user recommender for user: 238 is 0.8310118199591132
 Similarity with user-to-user recommender for user: 239 is 0.8214875392570973
 Similarity with user-to-user recommender for user: 240 is 0.7249490519806163
 Similarity with user-to-user recommender for user: 241 is 0.642238135542627
 Similarity with user-to-user recommender for user: 242 is 0.798926366910251
 Similarity with user-to-user recommender for user: 243 is 0.7051118370867961
 Similarity with user-to-user recommender for user: 244 is 0.8834545148646049
 Similarity with user-to-user recommender for user: 245 is 0.4959589322028261
 Similarity with user-to-user recommender for user: 246 is 0.7374013439417909
 Similarity with user-to-user recommender for user: 247 is 0.7043093138309913
 Similarity with user-to-user recommender for user: 248 is 0.4754985339220878
 Similarity with user-to-user recommender for user: 249 is 0.7614046393505616
 Similarity with user-to-user recommender for user: 250 is 0.4597132528593804
 Similarity with user-to-user recommender for user: 251 is 0.8177794625866812
 Similarity with user-to-user recommender for user: 252 is 0.47174113460612727
 Similarity with user-to-user recommender for user: 253 is 0.4873368995363382
 Similarity with user-to-user recommender for user: 254 is 0.8377223599246448
 Similarity with user-to-user recommender for user: 255 is 0.36826580038827605
 Similarity with user-to-user recommender for user: 256 is 0.8033582036314673
 Similarity with user-to-user recommender for user: 257 is 0.6120781760509777
 Similarity with user-to-user recommender for user: 258 is 0.6706709047717602
 Similarity with user-to-user recommender for user: 259 is 0.7775051978623937
 Similarity with user-to-user recommender for user: 260 is 0.7815367776445722
 Similarity with user-to-user recommender for user: 261 is 0.7156681168625074
 Similarity with user-to-user recommender for user: 262 is 0.6751437522642313
 Similarity with user-to-user recommender for user: 263 is 0.8148373415945925
 Similarity with user-to-user recommender for user: 264 is 0.7120298800720404
 Similarity with user-to-user recommender for user: 265 is 0.8015341667840634
 Similarity with user-to-user recommender for user: 266 is 0.8022152072941653
 Similarity with user-to-user recommender for user: 267 is 0.8407076564031895
 Similarity with user-to-user recommender for user: 268 is 0.8164112404007013
 Similarity with user-to-user recommender for user: 269 is 0.5650395547597058
 Similarity with user-to-user recommender for user: 270 is 0.6705737195849796
 Similarity with user-to-user recommender for user: 271 is 0.7104679535768691
 Similarity with user-to-user recommender for user: 272 is 0.6922105877415102
 Similarity with user-to-user recommender for user: 273 is 0.6033804732067876
 Similarity with user-to-user recommender for user: 274 is 0.5467156748110932
 Similarity with user-to-user recommender for user: 275 is 0.6937683462481651
 Similarity with user-to-user recommender for user: 276 is 0.519959811389653
 Similarity with user-to-user recommender for user: 277 is 0.5433429441780978
 Similarity with user-to-user recommender for user: 278 is 0.3306617048314068
 Similarity with user-to-user recommender for user: 279 is 0.8610722538439498
 Similarity with user-to-user recommender for user: 280 is 0.8039177445841188
 Similarity with user-to-user recommender for user: 281 is 0.8139062499964321
 Similarity with user-to-user recommender for user: 282 is 0.8882771123821203
 Similarity with user-to-user recommender for user: 283 is 0.7128626500653485
 Similarity with user-to-user recommender for user: 284 is 0.5937061023785578
 Similarity with user-to-user recommender for user: 285 is 0.8343391097216138
 Similarity with user-to-user recommender for user: 286 is 0.8253874555937208
 Similarity with user-to-user recommender for user: 287 is 0.8237744206098673
 Similarity with user-to-user recommender for user: 288 is 0.5823393079788034
 Similarity with user-to-user recommender for user: 289 is 0.7043788117884636
 Similarity with user-to-user recommender for user: 290 is 0.7841509971431931
 Similarity with user-to-user recommender for user: 291 is 0.6594234486128767
 Similarity with user-to-user recommender for user: 292 is 0.7905676280278662
 Similarity with user-to-user recommender for user: 293 is 0.5888241916504222
 Similarity with user-to-user recommender for user: 294 is 0.8440426942560726
 Similarity with user-to-user recommender for user: 295 is 0.7175202358971168
 Similarity with user-to-user recommender for user: 296 is 0.7851388207558975
 Similarity with user-to-user recommender for user: 297 is 0.6412196381342956
 Similarity with user-to-user recommender for user: 298 is 0.5819682068104447
 Similarity with user-to-user recommender for user: 299 is 0.5868265224105625
 Similarity with user-to-user recommender for user: 300 is 0.7277813200272143
 Similarity with user-to-user recommender for user: 301 is 0.7826623118843546
 Similarity with user-to-user recommender for user: 302 is 0.8332602958398497
 Similarity with user-to-user recommender for user: 303 is 0.8132011349020348
 Similarity with user-to-user recommender for user: 304 is 0.8315349815353844
 Similarity with user-to-user recommender for user: 305 is 0.9065200361375847
 Similarity with user-to-user recommender for user: 306 is 0.6215645671750651
 Similarity with user-to-user recommender for user: 307 is 0.7056860347745636
 Similarity with user-to-user recommender for user: 308 is 0.8596628254165589
 Similarity with user-to-user recommender for user: 309 is 0.7898535856773792
 Similarity with user-to-user recommender for user: 310 is 0.7880023364319686
 Similarity with user-to-user recommender for user: 311 is 0.6618104726069338
 Similarity with user-to-user recommender for user: 312 is 0.8428849215833942
 Similarity with user-to-user recommender for user: 313 is 0.8117519720657547
 Similarity with user-to-user recommender for user: 314 is 0.6700324158930232
 Similarity with user-to-user recommender for user: 315 is 0.617586007067812
 Similarity with user-to-user recommender for user: 316 is 0.6954128834350577
 Similarity with user-to-user recommender for user: 317 is 0.7510420798526232
 Similarity with user-to-user recommender for user: 318 is 0.6484290518011965
 Similarity with user-to-user recommender for user: 319 is 0.5850488430909723
 Similarity with user-to-user recommender for user: 320 is 0.5173083960353739
 Similarity with user-to-user recommender for user: 321 is 0.5465793536529978
 Similarity with user-to-user recommender for user: 322 is 0.7617716711922353
 Similarity with user-to-user recommender for user: 323 is 0.8776869289812672
 Similarity with user-to-user recommender for user: 324 is 0.5886997225592427
 Similarity with user-to-user recommender for user: 325 is 0.7274553494192678
 Similarity with user-to-user recommender for user: 326 is 0.6647602765094871
 Similarity with user-to-user recommender for user: 327 is 0.5803989632601667
 Similarity with user-to-user recommender for user: 328 is 0.7737944954230871
 Similarity with user-to-user recommender for user: 329 is 0.7552975660843934
 Similarity with user-to-user recommender for user: 330 is 0.771130429180723
 Similarity with user-to-user recommender for user: 331 is 0.8535212545197428
 Similarity with user-to-user recommender for user: 332 is 0.7195171541375541
 Similarity with user-to-user recommender for user: 333 is 0.7242810772223252
 Similarity with user-to-user recommender for user: 334 is 0.5817452264445081
 Similarity with user-to-user recommender for user: 335 is 0.744531673214456
 Similarity with user-to-user recommender for user: 336 is 0.7759434018273447
 Similarity with user-to-user recommender for user: 337 is 0.8307272279183548
 Similarity with user-to-user recommender for user: 338 is 0.7232660054719268
 Similarity with user-to-user recommender for user: 339 is 0.8387947938815584
 Similarity with user-to-user recommender for user: 340 is 0.9986324364451352
 Similarity with user-to-user recommender for user: 341 is 0.6389817801942391
 Similarity with user-to-user recommender for user: 342 is 0.8040842697855312
 Similarity with user-to-user recommender for user: 343 is 0.6791209235004103
 Similarity with user-to-user recommender for user: 344 is 0.8253915058391251
 Similarity with user-to-user recommender for user: 345 is 0.8206679911981549
 Similarity with user-to-user recommender for user: 346 is 0.7837790923310968
 Similarity with user-to-user recommender for user: 347 is 0.6560670058534179
 Similarity with user-to-user recommender for user: 348 is 0.9018584077071357
 Similarity with user-to-user recommender for user: 349 is 0.31592540481302495
 Similarity with user-to-user recommender for user: 350 is 0.7679840637493314
 Similarity with user-to-user recommender for user: 351 is 0.720875614179548
 Similarity with user-to-user recommender for user: 352 is 0.8994805055925489
 Similarity with user-to-user recommender for user: 353 is 0.9117785944165908
 Similarity with user-to-user recommender for user: 354 is 0.739404121340563
 Similarity with user-to-user recommender for user: 355 is 0.47841498327605797
 Similarity with user-to-user recommender for user: 356 is 0.7242868751475879
 Similarity with user-to-user recommender for user: 357 is 0.7362836744396377
 Similarity with user-to-user recommender for user: 358 is 0.6928422765840376
 Similarity with user-to-user recommender for user: 359 is 0.811305445045359
 Similarity with user-to-user recommender for user: 360 is 0.650180951050588
 Similarity with user-to-user recommender for user: 361 is 0.8292914615326853
 Similarity with user-to-user recommender for user: 362 is 0.8269280607988281
 Similarity with user-to-user recommender for user: 363 is 0.7316452333273471
 Similarity with user-to-user recommender for user: 364 is 0.571517875097631
 Similarity with user-to-user recommender for user: 365 is 0.6629289681646022
 Similarity with user-to-user recommender for user: 366 is 0.767041831686967
 Similarity with user-to-user recommender for user: 367 is 0.6951790844450927
 Similarity with user-to-user recommender for user: 368 is 0.8325132984617056
 Similarity with user-to-user recommender for user: 369 is 0.7053410944667019
 Similarity with user-to-user recommender for user: 370 is 0.8414487594761111
 Similarity with user-to-user recommender for user: 371 is 0.6798253840780194
 Similarity with user-to-user recommender for user: 372 is 0.8313357870024422
 Similarity with user-to-user recommender for user: 373 is 0.6942135956560715
 Similarity with user-to-user recommender for user: 374 is 0.6122095623776792
 Similarity with user-to-user recommender for user: 375 is 0.6687877536239042
 Similarity with user-to-user recommender for user: 376 is 0.6745432767452425
 Similarity with user-to-user recommender for user: 377 is 0.8006552288498681
 Similarity with user-to-user recommender for user: 378 is 0.5758444358937239
 Similarity with user-to-user recommender for user: 379 is 0.7810877589613131
 Similarity with user-to-user recommender for user: 380 is 0.6396893236227279
 Similarity with user-to-user recommender for user: 381 is 0.6987969832210368
 Similarity with user-to-user recommender for user: 382 is 0.6510569749138788
 Similarity with user-to-user recommender for user: 383 is 0.793534163337268
 Similarity with user-to-user recommender for user: 384 is 0.6549593476192419
 Similarity with user-to-user recommender for user: 385 is 0.7019517163803948
 Similarity with user-to-user recommender for user: 386 is 0.8701487321642812
 Similarity with user-to-user recommender for user: 387 is 0.8275842416192231
 Similarity with user-to-user recommender for user: 388 is 0.21937809318805093
 Similarity with user-to-user recommender for user: 389 is 0.6954486515229934
 Similarity with user-to-user recommender for user: 390 is 0.7855492099403278
 Similarity with user-to-user recommender for user: 391 is 0.6041566437538013
 Similarity with user-to-user recommender for user: 392 is 0
 Similarity with user-to-user recommender for user: 393 is 0.8211718751520491
 Similarity with user-to-user recommender for user: 394 is 0.6352366391755683
 Similarity with user-to-user recommender for user: 395 is 0.7939557766679761
 Similarity with user-to-user recommender for user: 396 is 0.8162391172495427
 Similarity with user-to-user recommender for user: 397 is 0.4741693369252713
 Similarity with user-to-user recommender for user: 398 is 0.8303941093698155
 Similarity with user-to-user recommender for user: 399 is 0.7775560368706202
 Similarity with user-to-user recommender for user: 400 is 0.8113498858089344
 Similarity with user-to-user recommender for user: 401 is 0.4946161765026032
 Similarity with user-to-user recommender for user: 402 is 0.8464740955508286
 Similarity with user-to-user recommender for user: 403 is 0.6647996069144115
 Similarity with user-to-user recommender for user: 404 is 0.6778424468760127
 Similarity with user-to-user recommender for user: 405 is 0.8702214436468517
 Similarity with user-to-user recommender for user: 406 is 0.4288008305114319
 Similarity with user-to-user recommender for user: 407 is 0.7404819476341917
 Similarity with user-to-user recommender for user: 408 is 0.7304730525367054
 Similarity with user-to-user recommender for user: 409 is 0.7504905543349307
 Similarity with user-to-user recommender for user: 410 is 0.8188678575566396
 Similarity with user-to-user recommender for user: 411 is 0.6614017862544459
 Similarity with user-to-user recommender for user: 412 is 0.7640018541298725
 Similarity with user-to-user recommender for user: 413 is 0.7569980680612728
 Similarity with user-to-user recommender for user: 414 is 0.8396213141855919
 Similarity with user-to-user recommender for user: 415 is 0.6294066947225413
 Similarity with user-to-user recommender for user: 416 is 0.5526798813562243
 Similarity with user-to-user recommender for user: 417 is 0.6864542904032161
 Similarity with user-to-user recommender for user: 418 is 0.6239714664913799
 Similarity with user-to-user recommender for user: 419 is 0.7352496193277284
 Similarity with user-to-user recommender for user: 420 is 0.7194821100172464
 Similarity with user-to-user recommender for user: 421 is 0.6430820565116365
 Similarity with user-to-user recommender for user: 422 is 0.8743749756586728
 Similarity with user-to-user recommender for user: 423 is 0.5936978697267953
 Similarity with user-to-user recommender for user: 424 is 0.757286337754329
 Similarity with user-to-user recommender for user: 425 is 0.6567643771289767
 Similarity with user-to-user recommender for user: 426 is 0.34012595158984127
 Similarity with user-to-user recommender for user: 427 is 0.8815351128182337
 Similarity with user-to-user recommender for user: 428 is 0.7410534196515796
 Similarity with user-to-user recommender for user: 429 is 0.7431123304864304
 Similarity with user-to-user recommender for user: 430 is 0.6614626252009068
 Similarity with user-to-user recommender for user: 431 is 0.9151296575866821
 Similarity with user-to-user recommender for user: 432 is 0.8300697739812837
 Similarity with user-to-user recommender for user: 433 is 0.5507427494165114
 Similarity with user-to-user recommender for user: 434 is 0.8329905835069527
 Similarity with user-to-user recommender for user: 435 is 0.7900585808010654
 Similarity with user-to-user recommender for user: 436 is 0.6542441727639603
 Similarity with user-to-user recommender for user: 437 is 0.5543130139448071
 Similarity with user-to-user recommender for user: 438 is 0.9099798287993341
 Similarity with user-to-user recommender for user: 439 is 0.45891822871700805
 Similarity with user-to-user recommender for user: 440 is 0.754867217269628
 Similarity with user-to-user recommender for user: 441 is 0.7797816083120629
 Similarity with user-to-user recommender for user: 442 is 0.7490942132329881
 Similarity with user-to-user recommender for user: 443 is 0.6335680827335639
 Similarity with user-to-user recommender for user: 444 is 0.728520992633028
 Similarity with user-to-user recommender for user: 445 is 0.7216305187622437
 Similarity with user-to-user recommender for user: 446 is 0.6679724957902693
 Similarity with user-to-user recommender for user: 447 is 0.7001656359801312
 Similarity with user-to-user recommender for user: 448 is 0.774656462946977
 Similarity with user-to-user recommender for user: 449 is 0.6930435556109137
 Similarity with user-to-user recommender for user: 450 is 0.7756710864667753
