Item to item based recommender experimentation using rating.csv dataset file
----------------------------------------------------------------------------
Start the prediction of item-to-item based recommender ...
 Similarity with item-to-item recommender for user: 34 is 0.7847591741154322
 Similarity with item-to-item recommender for user: 35 is 0.5194471839947978
 Similarity with item-to-item recommender for user: 36 is 0.5011337185945786
 Similarity with item-to-item recommender for user: 37 is 0.3483392030034017
 Similarity with item-to-item recommender for user: 38 is 0.8549774760695628
 Similarity with item-to-item recommender for user: 39 is 0.5238416031093255
 Similarity with item-to-item recommender for user: 40 is 0.4112150680062987
 Similarity with item-to-item recommender for user: 41 is 0.5894492015597236
 Similarity with item-to-item recommender for user: 42 is 0.7549428018249988
 Similarity with item-to-item recommender for user: 43 is 0.8441182324109088
 Similarity with item-to-item recommender for user: 44 is 0.7061218971406057
 Similarity with item-to-item recommender for user: 45 is 0.7160293237641798
 Similarity with item-to-item recommender for user: 46 is 0.39594771283326274
 Similarity with item-to-item recommender for user: 47 is 0.6257666767232287
 Similarity with item-to-item recommender for user: 48 is 0.6120209837005379
 Similarity with item-to-item recommender for user: 49 is 0.6004770510087362
 Similarity with item-to-item recommender for user: 50 is 0.427664052462947
 Similarity with item-to-item recommender for user: 51 is 0.7335717463815957
 Similarity with item-to-item recommender for user: 52 is 0.5305039039409338
 Similarity with item-to-item recommender for user: 53 is 0.6689942077145496
 Similarity with item-to-item recommender for user: 54 is 0.3910084715539584
 Similarity with item-to-item recommender for user: 55 is 0.5775598696405383
 Similarity with item-to-item recommender for user: 56 is 0.6484689230150339
 Similarity with item-to-item recommender for user: 57 is 0.786830306273596
 Similarity with item-to-item recommender for user: 58 is 0.7662519064768905
 Similarity with item-to-item recommender for user: 59 is 0.649833425470103
 Similarity with item-to-item recommender for user: 60 is 0.5877315424482947
 Similarity with item-to-item recommender for user: 61 is 0.580130969822167
 Similarity with item-to-item recommender for user: 62 is 0.39909947884970254
 Similarity with item-to-item recommender for user: 63 is 0.6048290391562289
 Similarity with item-to-item recommender for user: 64 is 0.7500059553040821
 Similarity with item-to-item recommender for user: 65 is 0.7278924098198788
 Similarity with item-to-item recommender for user: 66 is 0.6746450013524726
 Similarity with item-to-item recommender for user: 67 is 0.1828854278393516
 Similarity with item-to-item recommender for user: 68 is 0.7251428240216926
 Similarity with item-to-item recommender for user: 69 is 0.2842722975638393
 Similarity with item-to-item recommender for user: 70 is 0.6053309953980541
 Similarity with item-to-item recommender for user: 71 is 0.5182972908485096
 Similarity with item-to-item recommender for user: 72 is 0.5831736207531681
 Similarity with item-to-item recommender for user: 73 is 0.6771937397979825
 Similarity with item-to-item recommender for user: 74 is 0.5143189413591934
 Similarity with item-to-item recommender for user: 75 is 0.6762263974330802
 Similarity with item-to-item recommender for user: 76 is 0.6541134733818008
 Similarity with item-to-item recommender for user: 77 is 0.6410398992036977
 Similarity with item-to-item recommender for user: 78 is 0.2932170763983456
 Similarity with item-to-item recommender for user: 79 is 0.5841879179784019
 Similarity with item-to-item recommender for user: 80 is 0.3965998892160054
 Similarity with item-to-item recommender for user: 81 is 0.6448506063325045
 Similarity with item-to-item recommender for user: 82 is 0.6719014032188906
 Similarity with item-to-item recommender for user: 83 is 0.36773983475884703
 Similarity with item-to-item recommender for user: 84 is 0.6424212224799485
 Similarity with item-to-item recommender for user: 85 is 0.5411916855945599
 Similarity with item-to-item recommender for user: 86 is 0.7395919028770349
 Similarity with item-to-item recommender for user: 87 is 0.23841713433227857
 Similarity with item-to-item recommender for user: 88 is 0.41219106558899365
 Similarity with item-to-item recommender for user: 89 is 0.7044406762813697
 Similarity with item-to-item recommender for user: 90 is 0.6394423258508571
 Similarity with item-to-item recommender for user: 91 is 0.7353888656459998
 Similarity with item-to-item recommender for user: 92 is 0.7562824854035416
 Similarity with item-to-item recommender for user: 93 is 0.3798425970105721
 Similarity with item-to-item recommender for user: 94 is 0.6919499732443496
 Similarity with item-to-item recommender for user: 95 is 0.6348016307299804
 Similarity with item-to-item recommender for user: 96 is 0.7698288294965288
 Similarity with item-to-item recommender for user: 97 is 0.6874229847760353
 Similarity with item-to-item recommender for user: 98 is 0.5914931387072977
 Similarity with item-to-item recommender for user: 99 is 0.5855933758320349
 Similarity with item-to-item recommender for user: 100 is 0.8210718017448093
 Similarity with item-to-item recommender for user: 101 is 0.3921638782786416
 Similarity with item-to-item recommender for user: 102 is 0.5266737925035055
 Similarity with item-to-item recommender for user: 103 is 0.7128322742783892
 Similarity with item-to-item recommender for user: 104 is 0.710767579965271
 Similarity with item-to-item recommender for user: 105 is 0.6479845722331327
 Similarity with item-to-item recommender for user: 106 is 0.5191053912606222
 Similarity with item-to-item recommender for user: 107 is 0.4948351971319717
 Similarity with item-to-item recommender for user: 108 is 0.8328536137957627
 Similarity with item-to-item recommender for user: 109 is 0.7593028495985511
 Similarity with item-to-item recommender for user: 110 is 0.5717489205985485
 Similarity with item-to-item recommender for user: 111 is 0.2972279262471437
 Similarity with item-to-item recommender for user: 112 is 0.76150367899125
 Similarity with item-to-item recommender for user: 113 is 0.7042015945063201
 Similarity with item-to-item recommender for user: 114 is 0.5034010467842215
 Similarity with item-to-item recommender for user: 115 is 0.7028164322002397
 Similarity with item-to-item recommender for user: 116 is 0.7189285205584357
 Similarity with item-to-item recommender for user: 117 is 0.5489618159272873
 Similarity with item-to-item recommender for user: 118 is 0.2341022544730552
 Similarity with item-to-item recommender for user: 119 is 0.7395442892181159
 Similarity with item-to-item recommender for user: 120 is 0.4279901279323414
 Similarity with item-to-item recommender for user: 121 is 0.8146814098203071
 Similarity with item-to-item recommender for user: 122 is 0.4036712760182163
 Similarity with item-to-item recommender for user: 123 is 0.5987949452442964
 Similarity with item-to-item recommender for user: 124 is 0.5979259613427823
 Similarity with item-to-item recommender for user: 125 is 0.5405608853913403
 Similarity with item-to-item recommender for user: 126 is 0.7135826349207823
 Similarity with item-to-item recommender for user: 127 is 0.6077002525412295
 Similarity with item-to-item recommender for user: 128 is 0.5602773640900581
 Similarity with item-to-item recommender for user: 129 is 0.5376113203108196
 Similarity with item-to-item recommender for user: 130 is 0.4313705947285593
 Similarity with item-to-item recommender for user: 131 is 0.5137509361823649
 Similarity with item-to-item recommender for user: 132 is 0.7608906681292789
 Similarity with item-to-item recommender for user: 133 is 0.8444972345697342
 Similarity with item-to-item recommender for user: 134 is 0.3282840045924873
 Similarity with item-to-item recommender for user: 135 is 0.7300570149923246
 Similarity with item-to-item recommender for user: 136 is 0.6045194626302252
 Similarity with item-to-item recommender for user: 137 is 0.6217123327715348
 Similarity with item-to-item recommender for user: 138 is 0
 Similarity with item-to-item recommender for user: 139 is 0.5786481604496931
 Similarity with item-to-item recommender for user: 140 is 0.5371271082156782
 Similarity with item-to-item recommender for user: 141 is 0.7989424611731025
 Similarity with item-to-item recommender for user: 142 is 0.757211399201962
 Similarity with item-to-item recommender for user: 143 is 0.4467334116181742
 Similarity with item-to-item recommender for user: 144 is 0.809468446153466
 Similarity with item-to-item recommender for user: 145 is 0.8139393246490895
 Similarity with item-to-item recommender for user: 146 is 0.45669281420126506
 Similarity with item-to-item recommender for user: 147 is 0.37287469558063585
 Similarity with item-to-item recommender for user: 148 is 0.7890785549656949
 Similarity with item-to-item recommender for user: 149 is 0.5771836834053379
 Similarity with item-to-item recommender for user: 150 is 0.5883637277901927
 Similarity with item-to-item recommender for user: 151 is 0.7569227417694955
 Similarity with item-to-item recommender for user: 152 is 0.42640788566546256
 Similarity with item-to-item recommender for user: 153 is 0.6863550893567002
 Similarity with item-to-item recommender for user: 154 is 0.6662111763332191
 Similarity with item-to-item recommender for user: 155 is 0.7430442118491555
 Similarity with item-to-item recommender for user: 156 is 0.5576437539729424
 Similarity with item-to-item recommender for user: 157 is 0.4904843091417612
 Similarity with item-to-item recommender for user: 158 is 0.666089569481163
 Similarity with item-to-item recommender for user: 159 is 0.7276967614134696
 Similarity with item-to-item recommender for user: 160 is 0.5878266839344458
 Similarity with item-to-item recommender for user: 161 is 0.43146430762638555
 Similarity with item-to-item recommender for user: 162 is 0.42284022141075245
 Similarity with item-to-item recommender for user: 163 is 0.5912953701730385
 Similarity with item-to-item recommender for user: 164 is 0.20177108773988195
 Similarity with item-to-item recommender for user: 165 is 0.7430789541066298
 Similarity with item-to-item recommender for user: 166 is 0.41823387433014775
 Similarity with item-to-item recommender for user: 167 is 0.6067569584382679
 Similarity with item-to-item recommender for user: 168 is 0.542670154360235
 Similarity with item-to-item recommender for user: 169 is 0.6937588889476194
 Similarity with item-to-item recommender for user: 170 is 0.5557471823431807
 Similarity with item-to-item recommender for user: 171 is 0.5030572191682223
 Similarity with item-to-item recommender for user: 172 is 0.37412183728882675
 Similarity with item-to-item recommender for user: 173 is 0.641169879428445
 Similarity with item-to-item recommender for user: 174 is 0.6717409283181012
 Similarity with item-to-item recommender for user: 175 is 0.5237753221027857
 Similarity with item-to-item recommender for user: 176 is 0.5487712248748562
 Similarity with item-to-item recommender for user: 177 is 0.7936798007552388
 Similarity with item-to-item recommender for user: 178 is 0.9846267304814638
 Similarity with item-to-item recommender for user: 179 is 0.6688289192039879
 Similarity with item-to-item recommender for user: 180 is 0.5041877250779538
 Similarity with item-to-item recommender for user: 181 is 0.6996545747454272
 Similarity with item-to-item recommender for user: 182 is 0.4710256519545277
 Similarity with item-to-item recommender for user: 183 is 0.7777995945534019
 Similarity with item-to-item recommender for user: 184 is 0.6449423333169307
 Similarity with item-to-item recommender for user: 185 is 0.5465601014970831
 Similarity with item-to-item recommender for user: 186 is 0.7812233629069938
 Similarity with item-to-item recommender for user: 187 is 0.656872892164808
 Similarity with item-to-item recommender for user: 188 is 0.402077389660754
 Similarity with item-to-item recommender for user: 189 is 0.47381199575694827
 Similarity with item-to-item recommender for user: 190 is 0.5615256403291727
 Similarity with item-to-item recommender for user: 191 is 0.8046360306505524
 Similarity with item-to-item recommender for user: 192 is 0.472713124623921
 Similarity with item-to-item recommender for user: 193 is 0.7396442579532713
 Similarity with item-to-item recommender for user: 194 is 0.6290890719690342
 Similarity with item-to-item recommender for user: 195 is 0.3505036123736978
 Similarity with item-to-item recommender for user: 196 is 0.4072281860020255
 Similarity with item-to-item recommender for user: 197 is 0.40858135392461753
 Similarity with item-to-item recommender for user: 198 is 0.407314560570702
 Similarity with item-to-item recommender for user: 199 is 0.6724347495332226
 Similarity with item-to-item recommender for user: 200 is 0.5908947557753956
 Similarity with item-to-item recommender for user: 201 is 0.7352197771060697
 Similarity with item-to-item recommender for user: 202 is 0.7098663931889047
 Similarity with item-to-item recommender for user: 203 is 0.38119629566903324
 Similarity with item-to-item recommender for user: 204 is 0.538140935533536
 Similarity with item-to-item recommender for user: 205 is 0.14238040848856853
 Similarity with item-to-item recommender for user: 206 is 0.5954809814072525
 Similarity with item-to-item recommender for user: 207 is 0.5283644250185999
 Similarity with item-to-item recommender for user: 208 is 0.36784700406878723
 Similarity with item-to-item recommender for user: 209 is 0.575360636239525
 Similarity with item-to-item recommender for user: 210 is 0.5178324778134314
 Similarity with item-to-item recommender for user: 211 is 0.6863147576902837
 Similarity with item-to-item recommender for user: 212 is 0.7375919779785912
 Similarity with item-to-item recommender for user: 213 is 0.4090427186412215
 Similarity with item-to-item recommender for user: 214 is 0
 Similarity with item-to-item recommender for user: 215 is 0.4681605503664853
 Similarity with item-to-item recommender for user: 216 is 0.6797540897303102
 Similarity with item-to-item recommender for user: 217 is 0.6867657984899106
 Similarity with item-to-item recommender for user: 218 is 0.6959908638972119
 Similarity with item-to-item recommender for user: 219 is 0.673348622817667
 Similarity with item-to-item recommender for user: 220 is 0.6139261894284116
 Similarity with item-to-item recommender for user: 221 is 0.38199008886478936
 Similarity with item-to-item recommender for user: 222 is 0.6591762538754853
 Similarity with item-to-item recommender for user: 223 is 0.6099039155402528
 Similarity with item-to-item recommender for user: 224 is 0.5058130894021373
 Similarity with item-to-item recommender for user: 225 is 0.7917559584525978
 Similarity with item-to-item recommender for user: 226 is 0.4773906784064212
 Similarity with item-to-item recommender for user: 227 is 0.6522698185526781
 Similarity with item-to-item recommender for user: 228 is 0.5046633449528138
 Similarity with item-to-item recommender for user: 229 is 0.7352479688347681
 Similarity with item-to-item recommender for user: 230 is 0.6447970623096967
 Similarity with item-to-item recommender for user: 231 is 0.5881519984313791
 Similarity with item-to-item recommender for user: 232 is 0.6971305974780448
 Similarity with item-to-item recommender for user: 233 is 0.5879756742721456
 Similarity with item-to-item recommender for user: 234 is 0.715345360336521
 Similarity with item-to-item recommender for user: 235 is 0.6375572677125291
 Similarity with item-to-item recommender for user: 236 is 0.6695533226810968
 Similarity with item-to-item recommender for user: 237 is 0.5811535195230965
 Similarity with item-to-item recommender for user: 238 is 0.40876468454148385
 Similarity with item-to-item recommender for user: 239 is 0.4452437936238768
 Similarity with item-to-item recommender for user: 240 is 0.5633834984729187
 Similarity with item-to-item recommender for user: 241 is 0.7051138244344652
 Similarity with item-to-item recommender for user: 242 is 0.4946607422400363
 Similarity with item-to-item recommender for user: 243 is 0.684723567464849
 Similarity with item-to-item recommender for user: 244 is 0.6255568557699059
 Similarity with item-to-item recommender for user: 245 is 0.46905001295368387
 Similarity with item-to-item recommender for user: 246 is 0.6180509434642986
 Similarity with item-to-item recommender for user: 247 is 0.6897362111362833
 Similarity with item-to-item recommender for user: 248 is 0.779837856489962
 Similarity with item-to-item recommender for user: 249 is 0.6830456595527608
 Similarity with item-to-item recommender for user: 250 is 0.24174366949300458
 Similarity with item-to-item recommender for user: 251 is 0.605141300266027
 Similarity with item-to-item recommender for user: 252 is 0.47933628814388185
 Similarity with item-to-item recommender for user: 253 is 0.7089561183983073
 Similarity with item-to-item recommender for user: 254 is 0.5288393159983686
 Similarity with item-to-item recommender for user: 255 is 0.0
 Similarity with item-to-item recommender for user: 256 is 0.4629191965588346
 Similarity with item-to-item recommender for user: 257 is 0.4119001950439759
 Similarity with item-to-item recommender for user: 258 is 0.48380329791735266
 Similarity with item-to-item recommender for user: 259 is 0.47914450611610304
 Similarity with item-to-item recommender for user: 260 is 0.7499440732314867
 Similarity with item-to-item recommender for user: 261 is 0.7261949922204415
 Similarity with item-to-item recommender for user: 262 is 0.4093970420308147
 Similarity with item-to-item recommender for user: 263 is 0.7805061675738533
 Similarity with item-to-item recommender for user: 264 is 0.8029248900752154
 Similarity with item-to-item recommender for user: 265 is 0.6384833606204418
 Similarity with item-to-item recommender for user: 266 is 0.36775281395952475
 Similarity with item-to-item recommender for user: 267 is 0.5535737988805927
 Similarity with item-to-item recommender for user: 268 is 0.4835688894808706
 Similarity with item-to-item recommender for user: 269 is 0.655583560854068
 Similarity with item-to-item recommender for user: 270 is 0.70237703956576
 Similarity with item-to-item recommender for user: 271 is 0.5958837232094604
 Similarity with item-to-item recommender for user: 272 is 0.4216584274142309
 Similarity with item-to-item recommender for user: 273 is 0.6908209904893264
 Similarity with item-to-item recommender for user: 274 is 0.4447507500570239
 Similarity with item-to-item recommender for user: 275 is 0.5349777553197144
 Similarity with item-to-item recommender for user: 276 is 0.4593569796530932
 Similarity with item-to-item recommender for user: 277 is 0.48925003719812404
 Similarity with item-to-item recommender for user: 278 is 0.22572387054949639
 Similarity with item-to-item recommender for user: 279 is 0.46316354190910225
 Similarity with item-to-item recommender for user: 280 is 0.6255705728397185
 Similarity with item-to-item recommender for user: 281 is 0.6900715935010784
 Similarity with item-to-item recommender for user: 282 is 0.414696678182162
 Similarity with item-to-item recommender for user: 283 is 0.679091627225456
 Similarity with item-to-item recommender for user: 284 is 0.3921881638297124
 Similarity with item-to-item recommender for user: 285 is 0.7788116777214198
 Similarity with item-to-item recommender for user: 286 is 0.7153080113096538
 Similarity with item-to-item recommender for user: 287 is 0.5964573070503408
 Similarity with item-to-item recommender for user: 288 is 0.784147978913261
 Similarity with item-to-item recommender for user: 289 is 0.4092420999919201
 Similarity with item-to-item recommender for user: 290 is 0.6395373950667183
 Similarity with item-to-item recommender for user: 291 is 0.4995721734702256
 Similarity with item-to-item recommender for user: 292 is 0.6674115787050579
 Similarity with item-to-item recommender for user: 293 is 0.6341788455398617
 Similarity with item-to-item recommender for user: 294 is 0.8472037220823715
 Similarity with item-to-item recommender for user: 295 is 0.5427682310391626
 Similarity with item-to-item recommender for user: 296 is 0.16756473274797554
 Similarity with item-to-item recommender for user: 297 is 0.5453942859848784
 Similarity with item-to-item recommender for user: 298 is 0.6902545975360387
 Similarity with item-to-item recommender for user: 299 is 0.31998363978239813
 Similarity with item-to-item recommender for user: 300 is 0.40326022322405075
 Similarity with item-to-item recommender for user: 301 is 0.7135290489604227
 Similarity with item-to-item recommender for user: 302 is 0.6836343110576507
 Similarity with item-to-item recommender for user: 303 is 0.41467652193907273
 Similarity with item-to-item recommender for user: 304 is 0.7387591784050319
 Similarity with item-to-item recommender for user: 305 is 0.5055226475895623
 Similarity with item-to-item recommender for user: 306 is 0.31416871592213624
 Similarity with item-to-item recommender for user: 307 is 0.7015423424191031
 Similarity with item-to-item recommender for user: 308 is 0.7612745043974988
 Similarity with item-to-item recommender for user: 309 is 0.337091476354397
 Similarity with item-to-item recommender for user: 310 is 0.6234691566397718
 Similarity with item-to-item recommender for user: 311 is 0.5365167459606285
 Similarity with item-to-item recommender for user: 312 is 0.4810662512530107
 Similarity with item-to-item recommender for user: 313 is 0.7743605013941668
 Similarity with item-to-item recommender for user: 314 is 0.7106810061479151
 Similarity with item-to-item recommender for user: 315 is 0.532725002007698
 Similarity with item-to-item recommender for user: 316 is 0.5974364427069389
 Similarity with item-to-item recommender for user: 317 is 0.433853290952407
 Similarity with item-to-item recommender for user: 318 is 0.5846235391595707
 Similarity with item-to-item recommender for user: 319 is 0.48824367953093645
 Similarity with item-to-item recommender for user: 320 is 0.7246028178015756
 Similarity with item-to-item recommender for user: 321 is 0.648009177552717
 Similarity with item-to-item recommender for user: 322 is 0.733223505042693
 Similarity with item-to-item recommender for user: 323 is 0.6166256289278813
 Similarity with item-to-item recommender for user: 324 is 0.15785163018958112
 Similarity with item-to-item recommender for user: 325 is 0.7586016752873986
 Similarity with item-to-item recommender for user: 326 is 0.6839972258195154
 Similarity with item-to-item recommender for user: 327 is 0.5993426456653713
 Similarity with item-to-item recommender for user: 328 is 0.48933452104232
 Similarity with item-to-item recommender for user: 329 is 0.502622118400288
 Similarity with item-to-item recommender for user: 330 is 0.6794699546784143
 Similarity with item-to-item recommender for user: 331 is 0.7605862026947801
 Similarity with item-to-item recommender for user: 332 is 0.8098210278127195
 Similarity with item-to-item recommender for user: 333 is 0.7794310327051223
 Similarity with item-to-item recommender for user: 334 is 0.6872095435075541
 Similarity with item-to-item recommender for user: 335 is 0.7531017600013994
 Similarity with item-to-item recommender for user: 336 is 0.45689217731552517
 Similarity with item-to-item recommender for user: 337 is 0.7995056956014149
 Similarity with item-to-item recommender for user: 338 is 0.7837415421389544
 Similarity with item-to-item recommender for user: 339 is 0.5943864675073973
 Similarity with item-to-item recommender for user: 340 is 0.793995439285023
 Similarity with item-to-item recommender for user: 341 is 0.49268601049192745
 Similarity with item-to-item recommender for user: 342 is 0.7412378725915045
 Similarity with item-to-item recommender for user: 343 is 0.6837624821983947
 Similarity with item-to-item recommender for user: 344 is 0.529975055799743
 Similarity with item-to-item recommender for user: 345 is 0.8353975010461884
 Similarity with item-to-item recommender for user: 346 is 0.2832748674430067
 Similarity with item-to-item recommender for user: 347 is 0.558417477009095
 Similarity with item-to-item recommender for user: 348 is 0.6178264874801463
 Similarity with item-to-item recommender for user: 349 is 0.5647651835592024
 Similarity with item-to-item recommender for user: 350 is 0.5901077237117762
 Similarity with item-to-item recommender for user: 351 is 0.7366714064753762
 Similarity with item-to-item recommender for user: 352 is 0.5557868494292993
 Similarity with item-to-item recommender for user: 353 is 0.685790160523109
 Similarity with item-to-item recommender for user: 354 is 0.6299355947139303
 Similarity with item-to-item recommender for user: 355 is 0.27383833847665384
 Similarity with item-to-item recommender for user: 356 is 0.5800172281351654
 Similarity with item-to-item recommender for user: 357 is 0.624788597700679
 Similarity with item-to-item recommender for user: 358 is 0.5321658873436454
 Similarity with item-to-item recommender for user: 359 is 0.5439705865577638
 Similarity with item-to-item recommender for user: 360 is 0.45636130430937033
 Similarity with item-to-item recommender for user: 361 is 0.4858982365250711
 Similarity with item-to-item recommender for user: 362 is 0.44340149382062805
 Similarity with item-to-item recommender for user: 363 is 0.5689392750157167
 Similarity with item-to-item recommender for user: 364 is 0.26296282865161275
 Similarity with item-to-item recommender for user: 365 is 0.4424788269746637
 Similarity with item-to-item recommender for user: 366 is 0.3294737305493039
 Similarity with item-to-item recommender for user: 367 is 0.5972095310644668
 Similarity with item-to-item recommender for user: 368 is 0.6522309646781411
 Similarity with item-to-item recommender for user: 369 is 0.82499027526058
 Similarity with item-to-item recommender for user: 370 is 0.640310401180945
 Similarity with item-to-item recommender for user: 371 is 0.5409072646022222
 Similarity with item-to-item recommender for user: 372 is 0.8279928834494332
 Similarity with item-to-item recommender for user: 373 is 0.7696525867936538
 Similarity with item-to-item recommender for user: 374 is 0.224450861413579
 Similarity with item-to-item recommender for user: 375 is 0.6307764924123623
 Similarity with item-to-item recommender for user: 376 is 0.49487814640028976
 Similarity with item-to-item recommender for user: 377 is 0.5536886413173459
 Similarity with item-to-item recommender for user: 378 is 0.24877197569100587
 Similarity with item-to-item recommender for user: 379 is 0.6386928701562895
 Similarity with item-to-item recommender for user: 380 is 0.7123218564831549
 Similarity with item-to-item recommender for user: 381 is 0.629953707326638
 Similarity with item-to-item recommender for user: 382 is 0.570654317090242
 Similarity with item-to-item recommender for user: 383 is 0.5737476882237027
 Similarity with item-to-item recommender for user: 384 is 0.41082879422713553
 Similarity with item-to-item recommender for user: 385 is 0.803641691877809
 Similarity with item-to-item recommender for user: 386 is 0.6739867508860319
 Similarity with item-to-item recommender for user: 387 is 0.5619602785917531
 Similarity with item-to-item recommender for user: 388 is 0.0
 Similarity with item-to-item recommender for user: 389 is 0.7583463696965697
 Similarity with item-to-item recommender for user: 390 is 0.7260088765485854
 Similarity with item-to-item recommender for user: 391 is 0.6455410736223973
 Similarity with item-to-item recommender for user: 392 is 0
 Similarity with item-to-item recommender for user: 393 is 0.44702092627018825
 Similarity with item-to-item recommender for user: 394 is 0.5907476418969623
 Similarity with item-to-item recommender for user: 395 is 0.5625231098500267
 Similarity with item-to-item recommender for user: 396 is 0.38976993078165384
 Similarity with item-to-item recommender for user: 397 is 0.20454574896396732
 Similarity with item-to-item recommender for user: 398 is 0.5238110404021605
 Similarity with item-to-item recommender for user: 399 is 0.18356806921785268
 Similarity with item-to-item recommender for user: 400 is 0.4491197542082416
 Similarity with item-to-item recommender for user: 401 is 0.5124152431008985
 Similarity with item-to-item recommender for user: 402 is 0.698038823375561
 Similarity with item-to-item recommender for user: 403 is 0.26747966466410267
 Similarity with item-to-item recommender for user: 404 is 0.5205273119161666
 Similarity with item-to-item recommender for user: 405 is 0.6886046432359049
 Similarity with item-to-item recommender for user: 406 is 0.26359057003562786
 Similarity with item-to-item recommender for user: 407 is 0.6739454652546251
 Similarity with item-to-item recommender for user: 408 is 0.5788837815406446
 Similarity with item-to-item recommender for user: 409 is 0.5866528721275186
 Similarity with item-to-item recommender for user: 410 is 0.4898396818845361
 Similarity with item-to-item recommender for user: 411 is 0.6588132999472106
 Similarity with item-to-item recommender for user: 412 is 0.4879997450897268
 Similarity with item-to-item recommender for user: 413 is 0.534585817368594
 Similarity with item-to-item recommender for user: 414 is 0.6966273372511177
 Similarity with item-to-item recommender for user: 415 is 0.6925962027422597
 Similarity with item-to-item recommender for user: 416 is 0.6409089431629545
 Similarity with item-to-item recommender for user: 417 is 0.4035412156309819
 Similarity with item-to-item recommender for user: 418 is 0.4377385146455103
 Similarity with item-to-item recommender for user: 419 is 0.7398536696639951
 Similarity with item-to-item recommender for user: 420 is 0.5797238133233481
 Similarity with item-to-item recommender for user: 421 is 0.8319433046155151
 Similarity with item-to-item recommender for user: 422 is 0.7249030305932791
 Similarity with item-to-item recommender for user: 423 is 0.28853017548178805
 Similarity with item-to-item recommender for user: 424 is 0.6630373260763724
 Similarity with item-to-item recommender for user: 425 is 0.7139155666647653
 Similarity with item-to-item recommender for user: 426 is 0.41290289507109706
 Similarity with item-to-item recommender for user: 427 is 0.2736064399610681
 Similarity with item-to-item recommender for user: 428 is 0.3729167774699156
 Similarity with item-to-item recommender for user: 429 is 0.5900919332532498
 Similarity with item-to-item recommender for user: 430 is 0.6181670422348888
 Similarity with item-to-item recommender for user: 431 is 0.6755122652515143
 Similarity with item-to-item recommender for user: 432 is 0.7185663935372668
 Similarity with item-to-item recommender for user: 433 is 0.4003085881441706
 Similarity with item-to-item recommender for user: 434 is 0.4458277005744886
 Similarity with item-to-item recommender for user: 435 is 0.5858080496409132
 Similarity with item-to-item recommender for user: 436 is 0.7038578669239915
 Similarity with item-to-item recommender for user: 437 is 0.7026042406645565
 Similarity with item-to-item recommender for user: 438 is 0.7444930118841123
 Similarity with item-to-item recommender for user: 439 is 0.1919412501698394
 Similarity with item-to-item recommender for user: 440 is 0.6914227625000059
 Similarity with item-to-item recommender for user: 441 is 0.5880289431328253
 Similarity with item-to-item recommender for user: 442 is 0.4079938542009078
 Similarity with item-to-item recommender for user: 443 is 0.7705942498972006
 Similarity with item-to-item recommender for user: 444 is 0.697346797990264
 Similarity with item-to-item recommender for user: 445 is 0.5801962611976852
 Similarity with item-to-item recommender for user: 446 is 0.6466278096356001
 Similarity with item-to-item recommender for user: 447 is 0.6160697150543512
 Similarity with item-to-item recommender for user: 448 is 0.5016529676436938
 Similarity with item-to-item recommender for user: 449 is 0.499027171260984
 Similarity with item-to-item recommender for user: 450 is 0.6083203237372482
